/home/pi/Music/mp3/Pizzicato Five - combinaison SPACIALE ep/05 - トウキョウ・モナムール (DISCOTIQUE 96 MIX) (featuring 久米大作 at the organ).mp3	 Pizzicato Five	 combinaison SPACIALE ep	 トウキョウ・モナムール (DISCOTIQUE 96 MIX) (featuring 久米大作 at the organ)	70
/home/pi/Music/mp3/Pizzicato Five - combinaison SPACIALE ep/06 - アイスクリーム・メルティン・メロウ (MARIN MIX 1).mp3	 Pizzicato Five	 combinaison SPACIALE ep	 アイスクリーム・メルティン・メロウ (MARIN MIX 1)	70
/home/pi/Music/mp3/Pizzicato Five - pizzicato five TYO/01 - We Love Pizzicato Five.mp3	 Pizzicato Five	 pizzicato five TYO	 We Love Pizzicato Five	70
/home/pi/Music/mp3/Pizzicato Five - pizzicato five TYO/02 - スウィートソウルレヴュー.mp3	 Pizzicato Five	 pizzicato five TYO	 スウィート・ソウル・レヴュー	70
/home/pi/Music/mp3/Pizzicato Five - pizzicato five TYO/03 - 東京は夜の七時.mp3	 Pizzicato Five	 pizzicato five TYO	 東京は夜の七時	70
/home/pi/Music/mp3/Pizzicato Five - pizzicato five TYO/04 - 我が名はグルーヴィー.mp3	 Pizzicato Five	 pizzicato five TYO	 我が名はグルーヴィー	70
/home/pi/Music/mp3/Pizzicato Five - pizzicato five TYO/05 - トゥイギートゥイギー.mp3	 Pizzicato Five	 pizzicato five TYO	 トゥイギー・トゥイギー ～ トゥイギー対ジェームズ・ポンド	70
/home/pi/Music/mp3/Pizzicato Five - pizzicato five TYO/06 - 大人になりましょう.mp3	 Pizzicato Five	 pizzicato five TYO	 大人になりましょう	70
/home/pi/Music/mp3/Pizzicato Five - pizzicato five TYO/07 - CDJ.mp3	 Pizzicato Five	 pizzicato five TYO	 CDJ	70
/home/pi/Music/mp3/Pizzicato Five - pizzicato five TYO/08 - 陽の当たる大通り.mp3	 Pizzicato Five	 pizzicato five TYO	 陽の当たる大通り [Sunday Morning Takimix]	70
/home/pi/Music/mp3/Pizzicato Five - pizzicato five TYO/09 - ハッピー・サッド.mp3	 Pizzicato Five	 pizzicato five TYO	 ハッピー・サッド	70
/home/pi/Music/mp3/Pizzicato Five - pizzicato five TYO/10 - キャッチー.mp3	 Pizzicato Five	 pizzicato five TYO	 キャッチー [Voltage Unlimited Catchy]	70
/home/pi/Music/mp3/Pizzicato Five - pizzicato five TYO/11 - サンキュー.mp3	 Pizzicato Five	 pizzicato five TYO	 サンキュー	70
/home/pi/Music/mp3/Pizzicato Five - pizzicato five TYO/12 - マジックカーペットライド.mp3	 Pizzicato Five	 pizzicato five TYO	 マジック・カーペット・ライド	70
/home/pi/Music/mp3/Pizzicato Five - pizzicato five TYO/13 - We Love Pizzicato Five.mp3	 Pizzicato Five	 pizzicato five TYO	 We Love Pizzicato Five	70
/home/pi/Music/mp3/Pizzicato Five - pizzicato five TYO/14 - 万事快調.mp3	 Pizzicato Five	 pizzicato five TYO	 万事快調	70
/home/pi/Music/Hireso/TULIP/0011146531.flac	 TULIP	 チューリップ・ガーデン	 魔法の黄色い靴	70
/home/pi/Music/Hireso/TULIP/0011146532.flac	 TULIP	 チューリップ・ガーデン	 ハーモニー	70
/home/pi/Music/Hireso/TULIP/0011146533.flac	 TULIP	 チューリップ・ガーデン	 一人の部屋	70
/home/pi/Music/Hireso/TULIP/0011146534.flac	 TULIP	 チューリップ・ガーデン	 田舎へ引越そう	70
/home/pi/Music/Hireso/TULIP/0011146535.flac	 TULIP	 チューリップ・ガーデン	 心の旅	70
/home/pi/Music/Hireso/TULIP/0011146536.flac	 TULIP	 チューリップ・ガーデン	 夢中さ君に	70
/home/pi/Music/Hireso/TULIP/0011146537.flac	 TULIP	 チューリップ・ガーデン	 夏色のおもいで	70
/home/pi/Music/Hireso/TULIP/0011146538.flac	 TULIP	 チューリップ・ガーデン	 しっぽの丸い小犬	70
/home/pi/Music/Hireso/TULIP/0011146539.flac	 TULIP	 チューリップ・ガーデン	 銀の指輪	70
/home/pi/Music/Hireso/TULIP/0011146540.flac	 TULIP	 チューリップ・ガーデン	 セプテンバー	70
/home/pi/Music/Hireso/TULIP/0011146541.flac	 TULIP	 チューリップ・ガーデン	 青春の影	70
/home/pi/Music/Hireso/TULIP/0011146542.flac	 TULIP	 チューリップ・ガーデン	 一本の傘	70
/home/pi/Music/Hireso/TULIP/0011146543.flac	 TULIP	 チューリップ・ガーデン	 ぼくがつくった愛のうた(いとしのEmily)	70
/home/pi/Music/Hireso/TULIP/0011146544.flac	 TULIP	 チューリップ・ガーデン	 私のアイドル	70
/home/pi/Music/Hireso/TULIP/0011146545.flac	 TULIP	 チューリップ・ガーデン	 サボテンの花	70
/home/pi/Music/Hireso/TULIP/0011146546.flac	 TULIP	 チューリップ・ガーデン	 なくした言葉	70
/home/pi/Music/Hireso/TULIP/0011146547.flac	 TULIP	 チューリップ・ガーデン	 悲しきレイン・トレイン	70
/home/pi/Music/Hireso/TULIP/0011146548.flac	 TULIP	 チューリップ・ガーデン	 さよならのプレゼント	70
/home/pi/Music/Hireso/TULIP/0011146549.flac	 TULIP	 チューリップ・ガーデン	 娘が嫁ぐ朝	70
/home/pi/Music/Hireso/TULIP/0011146550.flac	 TULIP	 チューリップ・ガーデン	 風見鳥	70
/home/pi/Music/Hireso/TULIP/0011146551.flac	 TULIP	 チューリップ・ガーデン	 風のメロディ	70
/home/pi/Music/Hireso/TULIP/0011146552.flac	 TULIP	 チューリップ・ガーデン	 ともだちのあなただから	70
/home/pi/Music/Hireso/TULIP/0011146553.flac	 TULIP	 チューリップ・ガーデン	 ブルー・スカイ	70
/home/pi/Music/Hireso/TULIP/0011146554.flac	 TULIP	 チューリップ・ガーデン	 恋人への手紙	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - 10% roll, 10% romance/01 - 10% roll, 10% romance.flac	 UNISON SQUARE GARDEN	 10% roll, 10% romance	 10% roll, 10% romance	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - 10% roll, 10% romance/02 - RUNNERS HIGH REPRISE.flac	 UNISON SQUARE GARDEN	 10% roll, 10% romance	 RUNNERS HIGH REPRISE	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - 10% roll, 10% romance/03 - flat song.flac	 UNISON SQUARE GARDEN	 10% roll, 10% romance	 flat song	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - CIDER ROAD/01 - to the CIDER ROAD.flac	 UNISON SQUARE GARDEN	 CIDER ROAD	 to the CIDER ROAD	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - CIDER ROAD/02 - ため息 shooting the MOON.flac	 UNISON SQUARE GARDEN	 CIDER ROAD	 ため息 shooting the MOON	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - CIDER ROAD/03 - リニアブルーを聴きながら (「劇場版 TIGER&BUNNY The Beginning」主題歌).flac	 UNISON SQUARE GARDEN	 CIDER ROAD	 リニアブルーを聴きながら (「劇場版 TIGER&BUNNY The Beginning」主題歌)	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - CIDER ROAD/04 - like coffeeのおまじない.flac	 UNISON SQUARE GARDEN	 CIDER ROAD	 like coffeeのおまじない	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - CIDER ROAD/05 - お人好しカメレオン.flac	 UNISON SQUARE GARDEN	 CIDER ROAD	 お人好しカメレオン	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - CIDER ROAD/06 - 光のどけき春の日に.flac	 UNISON SQUARE GARDEN	 CIDER ROAD	 光のどけき春の日に	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - CIDER ROAD/07 - クロスハート1号線 (advantage in a long time).flac	 UNISON SQUARE GARDEN	 CIDER ROAD	 クロスハート1号線 (advantage in a long time)	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - CIDER ROAD/08 - セレナーデが止まらない.flac	 UNISON SQUARE GARDEN	 CIDER ROAD	 セレナーデが止まらない	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - CIDER ROAD/09 - 流星のスコール.flac	 UNISON SQUARE GARDEN	 CIDER ROAD	 流星のスコール	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - CIDER ROAD/10 - Miss．サンディ.flac	 UNISON SQUARE GARDEN	 CIDER ROAD	 Miss．サンディ	70
